[2019-12-26 17:04:28,504]-[INFO]-appium -p 4767 -bp 4761 -U localhost:62001
[2019-12-26 17:04:50,955]-[INFO]-driver success
[2019-12-26 17:10:50,760]-[INFO]-localhost:62001
[2019-12-26 17:10:51,009]-[INFO]-手机版本为：5.1.1

[2019-12-26 17:10:51,070]-[INFO]-localhost:62001
[2019-12-26 17:10:51,094]-[INFO]-appium -p 4736 -bp 4847 -U localhost:62001
[2019-12-26 17:11:13,161]-[INFO]-driver success
[2019-12-26 19:14:10,102]-[INFO]-localhost:62001
[2019-12-26 19:14:11,514]-[INFO]-手机版本为：5.1.1

[2019-12-26 19:14:11,631]-[INFO]-localhost:62001
[2019-12-26 19:14:11,649]-[INFO]-appium -p 4733 -bp 4870 -U localhost:62001
[2019-12-26 19:15:47,396]-[INFO]-localhost:62001
[2019-12-26 19:15:47,612]-[INFO]-手机版本为：5.1.1

[2019-12-26 19:15:47,679]-[INFO]-localhost:62001
[2019-12-26 19:15:47,712]-[INFO]-appium -p 4880 -bp 4848 -U localhost:62001
[2019-12-26 19:16:16,814]-[INFO]-driver success
